,DYP,YDP,ANAP,MİLLET_PARTİSİ,İP,HADEP,DSP,YDH,RP,CHP,MHP,YENİ_PARTİ,BAĞIMSIZLAR
adana,165837,246,157542,3734,2165,63277,178461,337,15868,74898,136386,146,2437
adıyaman,36641,891,29104,1694,492,18672,5687,1119,64205,21454,13324,422,3537
afyonkarahisar,94325,1505,61084,2309,863,2507,30883,1167,74918,27823,39249,502,0
ağrı,17503,906,23669,103,285,23037,2132,1342,39489,4693,7055,215,7243
amasya,31459,594,31468,773,314,1823,18858,586,43203,32323,22529,247,1237
ankara,242135,2125,399513,7353,5025,46682,261707,7312,385966,311701,170210,2092,2712
ANKARA-1,125842,1887,200767,3208,2822,26955,142694,4088,170017,177753,81565,1156,2529
ANKARA-2,116293,238,198746,4145,2203,19727,119013,3224,215949,133948,88645,936,183
antalya,166368,1687,91881,2858,1507,11701,42702,2352,83363,145189,76545,717,120
artvin,23687,786,29499,527,265,1539,9755,426,15188,16167,6711,108,0
aydın,135591,223,105224,1727,1005,15071,7551,1669,40694,48533,41197,512,998
balıkesir,178961,2267,120509,2155,127,6441,120864,2219,92662,57075,33997,582,207
bilecik,33169,328,17027,342,133,721,17206,319,16295,10794,6668,102,0
bingöl,9913,233,11187,435,112,5526,809,813,40062,4033,4214,365,0
bitlis,1219,472,18638,446,130,8054,2213,1472,23361,1977,6088,806,4694
bolu,54668,1652,71398,224,588,3064,54234,1721,80319,15913,16675,504,0
burdur,38042,685,31259,1079,357,1423,23634,754,19304,14862,12958,245,0
bursa,244831,2852,21592,3422,1709,13667,21001,3183,187077,58353,54079,1224,815
çanakkale,84641,1078,57365,1384,560,2392,49705,1336,27188,30383,154,383,157
çankırı,20134,570,21983,751,253,1052,5394,449,27861,467,19163,170,68
çorum,47453,1142,41041,1722,788,2633,16138,1137,92056,57987,34855,484,5166
denizli,127874,1983,85053,2485,1301,5891,6107,2344,43257,55779,30706,654,0
diyarbakır,35754,2344,45612,1746,731,152803,8643,5188,62049,6501,6443,555,162
edirne,68602,659,33803,471,443,1982,80037,712,12583,2906,9055,175,0
elazığ,55121,672,27458,1235,378,897,4308,861,95948,18061,1578,398,135
erzincan,10327,196,10772,595,270,1198,1883,248,33532,27729,1527,134,1571
erzurum,50606,1823,49571,1843,562,19134,9544,1125,125882,14794,45408,860,4166
eskişehir,89508,1032,6118,131,721,2858,96175,1544,56079,42494,34378,308,0
gaziantep,57678,1814,71857,1792,908,28115,68413,298,100286,44108,42758,518,998
giresun,3003,138,80307,1789,414,2922,19617,106,45338,19826,10558,361,0
gümüşhane,9499,322,15914,395,99,646,169,191,19808,4508,8579,81,33
hakkari,9805,252,6311,211,124,27951,1007,273,3085,1375,112,46,0
hatay,99922,1097,75863,3024,1248,16513,40312,225,96355,114417,691,717,740
ısparta,81707,704,27963,914,513,1247,8855,557,32638,15323,31798,278,0
mersin,108612,178,114442,2605,1581,48329,81504,2223,65563,88604,97792,713,415
istanbul,641825,7879,916512,5236,8223,101193,764258,19893,997935,357139,154405,4698,3496
İSTANBUL-1,216638,2756,330521,428,3071,5616,256155,6874,351062,196298,55543,1323,1689
İSTANBUL-2,223914,2714,308798,4412,2719,46753,263511,7115,352141,14268,47265,1701,1652
İSTANBUL-3,201273,2409,277193,396,2433,48824,244592,5904,294732,146573,51597,1674,155
izmir,382411,3887,302148,3438,4430,58863,391066,5960,134964,222264,53957,1276,2005
İZMİR-1,180524,1786,157302,1552,2089,33154,189833,2943,71741,104952,4025,655,1166
İZMİR-2,201887,2101,144846,1886,2341,25709,201233,3017,63223,117312,49932,621,839
kars,21104,608,14129,637,259,7772,18721,608,23413,10754,13832,245,2401
kastamonu,59311,1768,40903,2447,816,2677,42322,2094,23548,12146,26587,505,0
kayseri,65927,142,64757,2176,988,4032,47776,1615,1496,30502,80522,567,2651
kırklareli,46963,569,34584,609,298,1652,50709,671,8913,25912,10994,178,97
kırşehir,16901,498,24351,661,245,4936,964,384,21632,135,23186,201,347
kocaeli,74095,1163,88161,2744,831,14526,103131,2509,17439,57661,29605,586,1084
konya,116767,2329,108234,4864,1922,20329,68525,3248,339278,47808,9751,943,1161
kütahya,79154,1729,7119,22,694,2986,37922,1247,79713,16227,31436,353,0
malatya,23503,745,66262,861,611,8283,114,934,107218,40252,24031,661,3715
manisa,179108,2748,132489,2769,1266,15603,120571,2409,88159,66052,584,749,264
kahramanmaraş,60434,1242,72368,18,703,9813,9792,1074,134331,33813,38253,431,804
mardin,33475,750,37784,941,267,37233,2962,1362,3397,7695,9213,272,3715
muğla,120951,1218,71778,121,865,4701,4581,117,17297,48505,28436,333,0
