_id,_name,col1,col2,col3
ES-A,Alicante
ES-AB,Albacete
ES-AL,Almería
ES-AV,Avila
ES-B,Barcelona
ES-BA,Badajoz
ES-BI,Vizcaya
ES-BU,Burgos
ES-C,A Coruña
ES-CA,Cadiz
ES-CC,Caceres
ES-CE,Ceuta
ES-CO,Cordoba
ES-CR,Ciudad Real
ES-CS,Castellón
ES-CU,Cuenca
ES-GC,Las Palmas
ES-GI,Girona
ES-GR,Granada
ES-GU,Guadalajara
ES-H,Huelva
ES-HU,Huesca
ES-J,Jaén
ES-L,Lleida
ES-LE,León
ES-LO,La Rioja
ES-LU,Lugo
ES-M,Madrid
ES-MA,Malaga
ES-ML,Melilla
ES-MU,Murcia
ES-NA,Navarra
ES-O,Asturias
ES-OR,Ourense
ES-P,Palencia
ES-PM,Balears
ES-PO,Pontevedra
ES-S,Cantabria
ES-SA,Salamanca
ES-SE,Sevilla
ES-SG,Segovia
ES-SO,Soria
ES-SS,Guipúzcoa
ES-TE,Teruel
ES-TF,Santa Cruz de Tenerife
ES-TO,Toledo
ES-T,Tarragona
ES-V,Valencia
ES-VA,Valladolid
ES-VI,Alava
ES-Z,Zaragoza
ES-ZA,Zamora
