_id,_name,col1,col2,col3
RU-AD,Adygey
RU-ALT,Altay
RU-AMU,Amur
RU-ARK,Arkhangel'sk
RU-AST,Astrakhan'
RU-BA,Bashkortostan
RU-BEL,Belgorod
RU-BRY,Bryansk
RU-BU,Buryat
RU-CE,Chechnya
RU-CHE,Chelyabinsk
RU-CHU,Chukot
RU-CU,Chuvash
RU-DA,Dagestan
RU-AL,Gorno-Altay
RU-IN,Ingush
RU-IRK,Irkutsk
RU-IVA,Ivanovo
RU-KB,Kabardin-Balkar
RU-KC,Karachay-Cherkess
RU-KDA,Krasnodar
RU-KEM,Kemerovo
RU-KLU,Kaluga
RU-KHA,Khabarovsk
RU-KR,Karelia
RU-KK,Khakass
RU-KL,Kalmyk
RU-KHM,Khanty-Mansiy
RU-KGD,Kaliningrad
RU-KO,Komi
RU-KAM,Kamchatka
RU-KRS,Kursk
RU-KOS,Kostroma
RU-KGN,Kurgan
RU-KIR,Kirov
RU-KYA,Krasnoyarsk
RU-LEN,Leningrad
RU-LIP,Lipetsk
RU-MOW,Moscow City
RU-ME,Mariy-El
RU-MAG,Magadan
RU-MUR,Murmansk
RU-MO,Mordovia
RU-MOS,Moskva
RU-NGR,Novgorod
RU-NEN,Nenets
RU-SE,North Ossetia
RU-NVS,Novosibirsk
RU-NIZ,Nizhegorod
RU-ORE,Orenburg
RU-ORL,Orel
RU-OMS,Omsk
RU-PER,Perm'
RU-PRI,Primor'ye
RU-PSK,Pskov
RU-PNZ,Penza
RU-ROS,Rostov
RU-RYA,Ryazan'
RU-SAM,Samara
RU-SA,Sakha
RU-SAK,Sakhalin
RU-SMO,Smolensk
RU-SPE,Saint Petersburg City
RU-SAR,Saratov
RU-STA,Stavropol'
RU-SVE,Sverdlovsk
RU-TAM,Tambov
RU-TOM,Tomsk
RU-TUL,Tula
RU-TA,Tatarstan
RU-TY,Tuva
RU-TVE,Tver'
RU-TYU,Tyumen'
RU-UD,Udmurt
RU-ULY,Ul'yanovsk
RU-VGG,Volgograd
RU-VLA,Vladimir
RU-YAN,Yamal-Nenets
RU-VLG,Vologda
RU-VOR,Voronezh
RU-YAR,Yaroslavl'
RU-YEV,Yevrey
RU-ZAB,Zabaykal'ye
